name,ra_deg,dec_deg,vmag,spectral,parallax_mas,pmra_mas,pmdec_mas
HIP 2484,7.88566992,-62.95808549,4.36,B9V,23.35,82.48,-54.37
HIP 2487,7.88898014,-62.96544985,4.53,A2V,18.95,87.95,-45.79
HIP 2497,7.92171234,52.83955844,5.59,K2III,8.29,-55.33,-13.14
HIP 2505,7.94299136,54.52232473,4.74,B8Vn,9.2,40.78,-14.81
HIP 2548,8.09897908,6.95545461,5.69,B9.5V,12.36,45.91,3.54
HIP 2568,8.14750345,20.29443334,5.38,K0III,12.69,136.81,-48.1
HIP 2578,8.18247614,-63.03137868,5.07,A0V,21.52,86.15,-49.85
HIP 2583,8.20454088,28.28022584,6.26,G8II,6.95,-4.2,6.08
HIP 2599,8.24994391,62.93178781,4.17,B1Ia,0.79,3.99,-2.1
HIP 2611,8.29301467,54.89508062,5.93,K0III,8.68,70.08,-39.36
HIP 2628,8.33001511,70.98184763,6.41,A0Vn,6.18,35.38,-1.81
HIP 2629,8.34677242,-71.26621472,6.11,A7IV,6.65,73.49,-13.04
HIP 2661,8.42108802,-29.55820696,5.55,K1III,6.56,-27.91,-29.31
HIP 2663,8.43270424,-35.00082229,6.41,F8/G0V,27.63,-60.33,-516.78
HIP 2707,8.60369264,66.75035211,6.47,B9III,5.77,23.84,-0.28
HIP 2711,8.61506261,-52.37318294,5.57,F3IV-V,39.03,227.8,38.21
HIP 2734,8.73086587,13.37126922,6.39,K0,8.15,-74.19,-54.54
HIP 2762,8.8110039,-3.59275785,5.2,F8V...,47.51,407.68,-36.47
HIP 2787,8.88645754,-0.50545908,5.94,F5IV,17.97,143.36,-61.94
HIP 2789,8.88881583,-54.82174811,6.04,K0IV,12.88,22.48,-51.27
HIP 2802,8.92139531,-48.00066027,5.51,F6V,27.61,47.14,-101.4
HIP 2832,8.97867189,13.20750244,6.32,F7V,26.59,-133.16,-179.03
HIP 2846,9.01331466,-14.97289122,6.45,K0III,7.03,-64.72,-59.19
HIP 2852,9.02876061,-22.84221094,6.06,A5m...,20.12,-71.44,-50.35
HIP 2854,9.0345314,54.16845384,5.08,B7III,6.45,22.98,-1.52
HIP 2876,9.11392475,60.32621728,5.78,A4III,0.97,3.05,-1.1
HIP 2889,9.15663761,-65.12442483,6.43,K2/K3III,5.05,41.88,-8.54
HIP 2900,9.1936292,44.48850971,5.14,K5III,4.97,-36.7,31.77
HIP 2903,9.19713232,15.23175994,5.89,B2.5IV,3.81,0.91,-14.18
HIP 2912,9.22016239,33.71935227,4.34,B5V,4.97,15.23,-3.56
HIP 2920,9.24277921,53.89693161,3.69,B2IV,5.46,17.77,-9.15
HIP 2926,9.28000597,24.01424837,6.18,K2III,9.75,-18.57,-46.04
HIP 2937,9.32573293,-54.3938098,6.4,K0II/IIICN,6.85,70.07,-3.79
HIP 2941,9.33244613,-24.76722545,5.57,K1V+...,64.38,1422.09,-17.15
HIP 2942,9.33844167,35.39951013,5.45,G5III,3.19,-9.21,-3.57
HIP 2954,9.37682692,3.13549746,6.43,K4III,5.65,90.32,-60.23
HIP 3031,9.63958024,29.312369,4.34,G5III...,19.34,-229.41,-254.08
HIP 3056,9.70310992,-25.10776606,6.43,K4III,4.47,56.47,-21.72
HIP 3083,9.79119583,49.35459528,5.45,K5III,2.45,7.93,-2.74
HIP 3092,9.83165567,30.86122579,3.27,K3III...,32.19,115.38,-83.05
HIP 3093,9.84206107,21.2513739,5.88,K0V,90.03,-461.07,-370.88
HIP 3132,9.94897859,82.4935747,6.38,F6V:,30.95,-113.67,77.23
HIP 3137,9.96631161,-44.79633326,6.0,K1IIICN...,10.75,42.69,16.74
HIP 3138,9.98147468,21.4385644,5.36,F3V...,7.94,28.46,-28.51
HIP 3170,10.10273354,-59.45568115,5.89,G1V,39.26,883.26,443.01
HIP 3175,10.11898738,-16.51659767,6.49,G8III,6.48,41.94,-32.25
HIP 3179,10.12661349,56.53740928,2.24,K0II-IIIvar,14.27,50.36,-32.17
HIP 3185,10.13501584,-23.80399309,6.14,G3/G5V,35.02,635.49,-363.28
HIP 3193,10.17658814,-4.35180551,5.9,K0III,5.66,-15.29,-14.48
HIP 3231,10.27998074,39.45867141,5.3,G8III,9.47,-14.37,-3.02
HIP 3245,10.33156671,-46.08500934,4.59,G8III,13.19,-28.92,1.04
HIP 3269,10.39989696,24.62906534,6.06,A7m,7.06,104.68,-23.4
HIP 3277,10.44292464,-56.50145475,5.72,Ap,15.29,90.15,57.28
HIP 3299,10.5143156,66.14761311,5.83,G9III-IV,6.48,-9.79,-8.55
HIP 3300,10.51618425,50.51254151,4.8,B2.5V,2.94,12.32,-6.48
HIP 3330,10.61790472,-65.46813002,5.38,F6V,24.59,54.11,41.12
HIP 3334,10.62920567,58.75343124,6.18,B9.5III,3.21,29.43,-8.47
HIP 3352,10.67349903,-60.26268184,5.99,K5III,13.73,263.68,-51.74
HIP 3356,10.67870812,-38.46346745,6.05,B9.5V,7.55,2.49,-6.25
HIP 3405,10.83851683,-57.46309763,4.36,A0IV,13.57,-5.16,15.5
HIP 3414,10.8670447,47.02463657,4.95,A5V,18.71,-24.52,-37.16
HIP 3419,10.89678452,-17.9866841,2.04,K0III,34.04,232.79,32.71
HIP 3436,10.9587023,-12.01130744,6.01,K1III,18.76,-0.84,-207.83
HIP 3455,11.04752272,-10.60927365,4.77,K0IIIvar,15.54,-6.96,-113.88
HIP 3456,11.04964742,-38.42197898,5.9,K1III,8.76,247.02,120.68
HIP 3478,11.10927611,47.863963,5.66,B5V...,4.29,-39.77,8.54
HIP 3489,11.13134786,-62.49760602,6.06,F5III/IV,11.89,103.16,6.29
HIP 3504,11.18125882,48.28438262,4.48,B5III,3.6,17.79,-7.62
HIP 3505,11.18515547,-22.00633247,5.22,F0V,35.92,-66.07,81.15
HIP 3521,11.23801546,-42.67632489,5.94,A7V,15.01,-89.06,-96.11
HIP 3527,11.24883557,-53.71490037,6.15,F7III,22.09,223.4,2.2
HIP 3544,11.32168124,55.2214087,5.41,A2Vs,9.28,-28.35,-5.34
HIP 3552,11.35043331,-4.6292514,6.15,M0III,2.93,37.13,37.65
HIP 3559,11.36961318,-12.88030968,6.15,G2V,31.39,-32.25,-205.68
HIP 3572,11.4129637,74.9881262,5.64,A2IV,11.24,-14.93,-21.86
HIP 3576,11.42375052,-16.42420509,6.47,F0IV,11.38,12.04,-6.07
HIP 3583,11.43930832,-47.55217573,5.8,G5IV,66.92,183.96,78.36
HIP 3604,11.54499561,44.8615082,6.03,B9.5IIIMNp.,7.21,17.64,-4.56
HIP 3607,11.54845521,-22.52206718,5.49,G8/K0III,9.78,197.14,-12.25
HIP 3632,11.63740001,15.47561194,5.36,M4III,5.55,-29.45,-44.22
HIP 3641,11.65929285,69.32537127,6.39,F3V,24.65,166.87,15.31
HIP 3649,11.6769419,59.57454122,6.41,G0Ib,-0.17,-5.89,-0.88
HIP 3675,11.75594336,11.97393464,5.51,G8II,12.45,53.83,-35.12
HIP 3685,11.80650093,19.57868622,6.11,F0Vn,9.35,107.75,6.66
HIP 3693,11.83495908,24.26737703,4.08,K1II,17.98,-101.23,-81.89
HIP 3697,11.84843074,6.74098135,5.98,G8III,7.16,14.42,-10.26
HIP 3717,11.93000731,-18.06142264,5.7,K3III,8.11,30.18,34.4
HIP 3721,11.94174879,74.84758739,5.42,B8III,4.06,15.03,-5.94
HIP 3741,12.00437854,-21.72247464,5.57,B9V,6.72,24.99,-7.23
HIP 3750,12.03698124,72.67445774,5.86,K0IV,14.65,133.71,9.87
HIP 3760,12.07226858,7.29991977,5.92,G8III,4.93,111.61,3.41
HIP 3765,12.09388786,5.28338873,5.74,K2V,134.04,758.04,-1141.22
HIP 3781,12.14632729,-74.92335356,5.09,K5III,15.94,133.21,-34.59
HIP 3786,12.17039736,7.58520186,4.44,K5III,10.69,83.14,-50.48
HIP 3801,12.20830552,50.96819154,4.9,B9III,8.37,30.28,-9.82
HIP 3807,12.23640318,-46.69769826,6.28,G8III,8.4,-10.56,20.81
HIP 3810,12.2446238,16.9411337,5.07,F8V...,41.8,-2.33,-201.57
HIP 3821,12.27125262,57.8165477,3.46,G0V SB,167.99,1087.11,-559.65
HIP 3834,12.3079102,-24.13652681,5.9,K0III,17.7,77.47,-59.62
HIP 3849,12.35647376,-13.56101709,5.59,K3III,10.02,103.34,-105.83
HIP 3858,12.38932382,-23.36210931,6.27,A3IV,3.8,-12.25,-14.18
HIP 3881,12.45345723,41.07895474,4.53,B5V SB,4.8,22.68,-18.05
HIP 3885,12.47128657,27.71031105,5.55,F5III+...,9.4,86.54,-10.2
HIP 3903,12.51565121,-43.39494468,6.49,A9/F0III,10.31,13.43,9.7
HIP 3909,12.53218487,-10.64377045,5.17,F7IV-V,64.69,-224.67,-228.44
HIP 3919,12.57589036,45.00224079,6.13,A0p...,11.01,60.72,6.93
